City;Hospitals;Fire stations;Police stations;Railway stations;Total PoIs;Types of PoIs
Abrantes;2;1;5;4;12;4
Aguiar da Beira;0;1;1;0;2;2
Alandroal;0;1;3;0;4;2
Albergaria-a-Velha;0;2;1;0;3;2
Albufeira;0;0;2;0;2;1
Alcanena;0;2;2;0;4;2
Alcobaça;1;4;7;4;16;4
Alcochete;0;1;2;0;3;2
Alcoutim;0;1;2;0;3;2
Alcácer do Sal;0;2;4;3;9;3
Alenquer;2;2;4;0;8;3
Alfândega da Fé;0;1;1;0;2;2
Alijó;1;4;2;1;8;4
Aljezur;0;2;3;0;5;2
Aljustrel;0;1;2;0;3;2
Almada;5;4;13;17;39;4
Almeida;2;1;6;2;11;4
Almeirim;0;1;1;0;2;2
Almodôvar;0;1;2;0;3;2
Alpiarça;0;1;1;0;2;2
Alter do Chão;0;0;1;1;2;2
Alvaiázere;1;1;1;0;3;3
Alvito;0;1;1;1;3;3
Amadora;3;1;10;8;22;4
Amarante;4;2;3;2;11;4
Amares;2;1;2;0;5;3
Anadia;2;1;3;2;8;4
Angra do Heroísmo;1;3;3;0;7;3
Ansião;1;1;1;0;3;3
Arcos de Valdevez;1;1;1;0;3;3
Arganil;1;4;1;0;6;3
Armamar;0;1;1;0;2;2
Arouca;1;1;1;0;3;3
Arraiolos;0;1;2;0;3;2
Arronches;0;2;1;0;3;2
Arruda dos Vinhos;2;1;1;0;4;3
Aveiro;2;5;7;4;18;4
Avis;0;1;1;0;2;2
Azambuja;0;2;2;2;6;3
Baião;0;1;1;6;8;3
Barcelos;3;5;2;2;12;4
Barrancos;0;1;1;0;2;2
Barreiro;1;2;6;4;13;4
Batalha;1;2;1;0;4;3
Beja;1;2;6;1;10;4
Belmonte;0;0;3;1;4;2
Benavente;0;3;1;0;4;2
Bombarral;0;2;1;1;4;3
Borba;0;1;1;0;2;2
Boticas;0;0;1;0;1;1
Braga;9;2;8;4;23;4
Bragança;2;1;4;0;7;3
Cabeceiras de Basto;0;1;1;0;2;2
Cadaval;1;1;1;0;3;3
Caldas da Rainha;8;1;3;1;13;4
Calheta de São Jorge;0;1;1;0;2;2
Calheta;0;1;1;0;2;2
Caminha;0;4;6;1;11;3
Campo Maior;0;1;1;0;2;2
Cantanhede;2;2;4;0;8;3
Carrazeda de Ansiães;0;1;1;3;5;3
Carregal do Sal;0;3;1;2;6;3
Cartaxo;0;1;2;1;4;3
Cascais;16;5;17;7;45;4
Castanheira de Pêra;0;1;1;0;2;2
Castelo Branco;2;3;11;3;19;4
Castelo de Paiva;1;1;1;0;3;3
Castelo de Vide;0;1;1;0;2;2
Castro Daire;0;2;1;0;3;2
Castro Marim;0;0;2;0;2;1
Castro Verde;0;1;1;0;2;2
Celorico da Beira;0;0;1;1;2;2
Celorico de Basto;0;1;1;1;3;3
Chamusca;0;1;1;0;2;2
Chaves;2;3;5;0;10;3
Cinfães;5;4;2;0;11;3
Coimbra;11;2;9;4;26;4
Condeixa-a-Nova;1;2;1;0;4;3
Constância;0;3;1;1;5;3
Coruche;2;1;3;0;6;3
Corvo;0;1;3;0;4;2
Covilhã;2;3;7;5;17;4
Crato;0;1;2;1;4;3
Cuba;0;1;2;1;4;3
Câmara de Lobos;0;2;1;0;3;2
Elvas;1;1;7;1;10;4
Entroncamento;3;1;1;1;6;4
Espinho;1;3;2;5;11;4
Esposende;3;2;3;0;8;3
Estarreja;1;1;2;4;8;4
Estremoz;0;1;4;0;5;2
Fafe;1;1;3;0;5;3
Faro;3;3;4;1;11;4
Felgueiras;1;4;3;0;8;3
Ferreira do Alentejo;0;1;2;0;3;2
Ferreira do Zêzere;0;1;1;0;2;2
Figueira da Foz;1;3;9;3;16;4
Figueira de Castelo Rodrigo;1;1;3;1;6;4
Figueiró dos Vinhos;0;1;1;0;2;2
Fornos de Algodres;0;1;1;1;3;3
Freixo de Espada à Cinta;0;1;1;0;2;2
Fronteira;0;1;3;0;4;2
Funchal;0;0;0;0;0;0
Fundão;0;4;4;4;12;3
Gavião;0;1;1;1;3;3
Golegã;0;1;1;0;2;2
Gondomar;3;5;6;7;21;4
Gouveia;0;4;3;0;7;2
Grândola;0;2;4;1;7;3
Guarda;2;4;7;2;15;4
Guimarães;2;3;4;4;13;4
Góis;0;2;1;0;3;2
Horta;1;3;6;0;10;3
Idanha-a-Nova;1;2;6;0;9;3
Lagoa - Açores;1;0;1;0;2;2
Lagoa;0;1;1;0;2;2
Lagos;1;0;4;0;5;2
Lajes das Flores;0;1;2;0;3;2
Lajes do Pico;0;1;1;0;2;2
Lamego;1;1;2;0;4;3
Leiria;3;7;9;2;21;4
Lisboa;38;22;60;65;185;4
Loulé;1;1;7;4;13;4
Loures;3;7;8;3;21;4
Lourinhã;0;1;2;0;3;2
Lousada;2;1;1;2;6;4
Lousã;1;2;1;0;4;3
Macedo de Cavaleiros;1;1;2;1;5;4
Machico;0;1;3;0;4;2
Madalena;0;1;1;0;2;2
Mafra;0;2;5;2;9;3
Maia;2;5;6;12;25;4
Mangualde;0;1;1;3;5;3
Manteigas;0;1;1;0;2;2
Marco de Canaveses;1;1;3;3;8;4
Marinha Grande;0;2;5;1;8;3
Marvão;0;1;2;0;3;2
Matosinhos;3;4;8;19;34;4
Mação;0;2;1;0;3;2
Mealhada;0;3;1;2;6;3
Melgaço;2;1;1;0;4;3
Mesão Frio;0;1;1;3;5;3
Mira;1;1;2;0;4;3
Miranda do Corvo;0;1;1;0;2;2
Miranda do Douro;0;2;2;0;4;2
Mirandela;2;2;4;0;8;3
Mogadouro;3;1;1;0;5;3
Moimenta da Beira;0;1;1;0;2;2
Moita;0;1;2;4;7;3
Monchique;0;4;1;0;5;2
Mondim de Basto;1;1;1;0;3;3
Monforte;0;1;1;0;2;2
Montalegre;0;2;2;0;4;2
Montemor-o-Novo;2;1;5;1;9;4
Montemor-o-Velho;0;1;1;3;5;3
Montijo;2;2;4;1;9;4
Monção;0;2;2;0;4;2
Mora;0;1;4;0;5;2
Mortágua;0;1;1;1;3;3
Moura;0;2;6;0;8;2
Mourão;0;1;3;0;4;2
Murtosa;0;1;1;0;2;2
Murça;1;1;1;0;3;3
Mértola;0;1;2;0;3;2
Mêda;0;1;1;0;2;2
Nazaré;1;1;4;1;7;4
Nelas;0;3;2;2;7;3
Nisa;0;1;2;0;3;2
Nordeste;0;1;1;0;2;2
Odemira;0;2;7;2;11;3
Odivelas;1;3;6;2;12;4
Oeiras;3;6;10;7;26;4
Oleiros;0;1;1;0;2;2
Olhão;0;3;5;3;11;3
Oliveira de Azeméis;1;4;3;1;9;4
Oliveira de Frades;0;1;1;0;2;2
Oliveira do Bairro;0;1;2;2;5;3
Oliveira do Hospital;2;2;1;0;5;3
Ourique;0;0;2;1;3;2
Ourém;0;5;3;1;9;3
Ovar;1;4;4;5;14;4
Palmela;0;4;4;6;14;3
Pampilhosa da Serra;0;3;1;0;4;2
Paredes de Coura;0;1;1;0;2;2
Paredes;1;7;5;6;19;4
Paços de Ferreira;0;1;3;0;4;2
Pedrógão Grande;0;1;1;0;2;2
Penacova;0;1;1;0;2;2
Penafiel;1;3;3;4;11;4
Penalva do Castelo;1;0;1;0;2;2
Penamacor;0;1;1;0;2;2
Penedono;0;1;1;0;2;2
Penela;1;2;1;0;4;3
Peniche;1;1;4;0;6;3
Peso da Régua;1;1;2;4;8;4
Pinhel;0;1;4;1;6;3
Pombal;1;4;3;4;12;4
Ponta Delgada;1;3;6;0;10;3
Ponta do Sol;0;0;2;0;2;1
Ponte da Barca;3;2;1;0;6;3
Ponte de Lima;3;2;4;0;9;3
Ponte de Sor;0;1;3;2;6;3
Portalegre;1;3;3;1;8;4
Portel;0;1;1;0;2;2
Portimão;3;1;6;2;12;4
Porto Moniz;0;1;1;0;2;2
